date,serial_number,failure,smart_5_raw,smart_187_raw,smart_188_raw,smart_197_raw,smart_198_raw
2016/1/1,S301146W,1,0,0,0,3128,3128
2016/1/1,W300L051,0,0,6,0,0,0
2016/1/1,Z300V5NZ,0,0,0,0,0,0
2016/1/1,W300DZCB,0,0,0,1,0,0
2016/1/1,Z304JCTQ,0,0,0,0,0,0
2016/1/1,Z3025LCN,1,0,0,0,0,0
2016/1/1,Z30054Q5,1,0,0,0,0,0
2016/1/1,Z300GPY9,1,0,0,0,0,0
2016/1/1,Z300KHN0,1,0,0,1,40,40
2016/1/1,Z3015V4D,1,0,0,1,56,56
2016/1/1,Z3025K64,1,0,0,0,40,40
2016/1/1,Z304JD7V,1,0,1,0,0,0
2016/1/1,Z302A14M,1,8,0,2,16,16
2016/1/1,S3007K7N,1,0,0,0,0,0
2016/1/1,W3006E5B,1,0,0,5,0,0
2016/1/1,Z3026RGL,0,0,0,0,0,0
2016/1/1,Z300KF9Z,0,0,0,0,0,0
2016/1/1,Z300GYN6,0,0,0,0,0,0
2016/1/1,Z300WF3E,1,0,1,0,32,32
2016/1/1,S300WFBB,0,0,0,0,0,0
2016/1/1,Z301Z0WP,0,0,0,0,0,0
2016/1/2,Z300WF3E,1,0,1,0,32,32
2016/1/2,Z3029FL1,0,0,0,0,0,0
2016/1/2,W300DCC5,0,0,0,0,0,0
2016/1/2,Z3041HCQ,0,0,0,2,0,0
2016/1/2,S3007K7N,1,0,0,0,0,0
2016/1/2,Z302A14M,1,8,0,2,96,96
2016/1/2,Z304JD7V,1,0,1,0,0,0
2016/1/2,Z300GPY9,1,0,0,0,0,0
2016/1/2,Z30054Q5,1,0,0,0,0,0
2016/1/2,Z3025LCN,1,0,1,0,8,8
2016/1/2,Z3025K64,1,0,0,0,32,32
2016/1/2,W300R7E6,0,0,0,0,0,0
2016/1/2,S300Z6LV,0,0,0,0,0,0
2016/1/2,Z3029GFP,0,0,0,0,0,0
2016/1/2,Z304JN3X,0,0,0,0,0,0
2016/1/2,Z3014PSZ,0,8,3,0,0,0
2016/1/2,Z303MC6R,0,0,0,0,0,0
2016/1/2,S301146W,1,0,168,0,3128,3128
